A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940),ph,EC,OC,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
2995.12,1128.92,3057.28,806.63,1059.32,1694.26,467.08,476.77,1436.44,248.11,353.11,74.97,88.62,75.75,244.54,327.76,119.64,53.86,8.27,0.16,0.36,8.58,396,,4,1.9,1.18,1.4,1,0.75,0.37
3048.07,1133.9,3093.12,818.67,1044.76,1727.98,463.8,475.23,1423.98,247.12,334.62,74.12,87.1,74.14,241.9,314.24,122.47,53.87,8.54,0.12,0.36,10.34,506.4,,25.8,14.6,4.16,3.25,1.28,0.27,0.73
2799.09,859.88,2689.09,668.04,873.12,1690.11,409.87,417.66,1254.98,224.81,275.7,67.77,79.43,66.89,224.71,284.98,119.63,51.13,9.01,0.15,0.36,4.91,396,40,7.3,11.09,7.01,2.09,1.79,0.43,0.73
3127.83,1218.7,3239.4,824.19,1051.34,1867.99,411.7,420.87,1300.65,217.68,372.62,63.53,87.1,78.11,250.57,331.13,112.28,49.3,8.47,0.18,0.48,7.88,771.6,53,5,15.35,4.81,1.27,2.57,1.76,0.81
3147.98,1117.1,3030.11,800.19,1067.11,470.11,476.98,1410.98,240.98,320.12,76.19,90.19,78.99,230.11,310.19,120.11,61.98,50.11,8.61,0.24,1.05,14.89,766.2,24,4,19.62,1.99,8.52,4.41,3.56,0.93
2156.87,677.55,2232.27,531.99,773.67,1444.2,332.79,329.91,1300.98,169.09,310.99,60.87,81.09,66.89,234.21,309.22,111.8,45.87,7.67,0.04,0.93,26.1,450.29,3.2,1.6,9.93,37.94,10.6,1.46,0.64,1.17
2098.22,473.12,1898.88,474.76,686.77,1543.98,360.11,391.09,1260.11,213.98,328.77,63.11,79.53,68.59,235.98,299.87,111.12,46.87,8.2,0.23,0.84,26.8,219.06,5.3,3,27.32,19.4,3.47,2.44,0.5,0.32
2332.87,700.98,2316.98,607.19,856.35,1531.23,389.11,392.12,1302.98,193.12,292.98,64.37,79.53,66.89,224.17,284.12,108.98,46.56,5.36,0.06,0.78,19.8,316.42,1.5,0.8,19.04,41.24,22.12,6.28,0.49,0.67
2001.09,451.22,2009.8,520.12,820.11,1623.98,424.23,457.98,1189.98,266.87,280.11,69.09,78.09,64.47,225.89,298.99,136.87,54.78,5.04,0.05,0.27,4.91,97.36,0.9,0.7,8.28,13.26,13.39,7.07,0.64,0.51
1577.8,302.92,1690.98,409.22,713.98,1465.88,371.34,401.98,1310.99,215.77,320.98,62.36,81,68.76,229.8,304.11,115.11,46.64,4.93,0.06,0.78,27.15,304.25,2.1,1.4,17.38,39.19,24.58,1.24,0.13,0.45
